F1 Panel
RARA
ETV6
FGFR3
TERT
FGFR1
SDC4
ALK
FGFR2
CD74
MSH2
NOTCH2
EZR
TMPRSS2
BRAF
RAF1
ROS1
MYB
RET
EGFR
ETV4
NTRK1
KIT
NTRK2
ETV5
SLC34A2
RSPO2
EWSR1
BCR
MLL
BRCA1
PDGFRA
MYC
BCL2
BRCA2
NUTM1
TERC
